"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
"Media, Music & Books",Musical Instruments,Keyboards & Pianos,Acoustic Pianos,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Keyboards & Pianos,Synthesizers,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Others,,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Traditional instruments,,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Woodwind,Flute,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Woodwind,Clarinet,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",Musical Instruments,Woodwind,Oboe,,6.96%,10.12%,,,,,,,,
"Media, Music & Books",TV Series,Action,,,11.31%,15.04%,,,,,,,,
"Media, Music & Books",TV Series,Comedy,,,11.31%,15.04%,,,,,,,,
"Media, Music & Books",TV Series,Drama,,,11.31%,15.04%,,,,,,,,
Mobiles & Tablets,Feature Phones,,,,1.78%,4.27%,,,,,,,,
Mobiles & Tablets,Landline Phones,,,,5%,7.91%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Cables & Converters,,,15.00%,19.21%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Car Chargers,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Car Mounts,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Docks & Stands,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Fashion Mobile Accessories,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Parts & Tools,Replacement Parts,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Parts & Tools,SIM Tools,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Phone Batteries,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Phone Camera Flash Lights,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Phone Cases,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Power Banks,,,8%,11.30%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Prepaid Cards,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Screen Protectors,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Selfie Sticks,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Wall Chargers,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobile Accessories,Wireless Chargers,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Mobiles,,,,1.30%,3.73%,,,,,,,,
Mobiles & Tablets,Tablet Accessories,Cases & Covers,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Tablet Accessories,Keyboards,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Tablet Accessories,Stylus Pens,,,14.00%,18.08%,,,,,,,,
Mobiles & Tablets,Tablets,,,,1.60%,4.07%,,,,,,,,
Mother & Baby,Baby Gear,Backpacks & Carriers,Soft Carriers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Backpacks & Carriers,Accessories,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Backpacks & Carriers,Backpacks,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Backpacks & Carriers,Slings,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Bicycle Child Seats & Trailers,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Convertible,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Booster,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Infant,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Toddler,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Car Seats,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Harnesses & Leashes,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Kids Bags & Luggage,Kids Bag,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Kids Bags & Luggage,Kids Luggage,,15%,19.21%,,,,,,,,
Mother & Baby,Baby Gear,Playards & Playpens,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Prams,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Joggers,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Accessories,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Doubles & Triple,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,Strollers,Tandems,,8.00%,11.30%,,,,,,,,
Mother & Baby,Baby Gear,"Swings, Jumpers & Bouncers",Bouncers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,"Swings, Jumpers & Bouncers",Swings,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,"Swings, Jumpers & Bouncers",Jumpers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Travel Beds,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Travel Systems,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Gear,Walkers,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Health Care,Colic & Gas Relief,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Health Care,Masks & Repellents,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Health Care,Nail Care,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Health Care,Nasal Aspirators,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Health Care,Teethers,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Health Care,Teething Relief,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Health Care,Thermometers,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Health Care,Vitamins & Supplements,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Baby Personal Care,Aromatherapy,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Baby Colognes & Frangrances,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Baby Detergent,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Bathing Tubs & Seats,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Bubble Bath,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Grooming & Healthcare Kits,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Non-Slip Bath Mats,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Shampoo & Conditioners,,,9.41%,12.89%,,,,,,,,
Mother & Baby,Baby Personal Care,Skin Care,Lotions & Creams,,9.41%,12.89%,,,,,,,,
Mother & Baby,Baby Personal Care,Skin Care,Oils,,9.41%,12.89%,,,,,,,,
Mother & Baby,Baby Personal Care,Skin Care,Powders,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,"Soaps, Cleansers & Bodywash",Body Wash,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,"Soaps, Cleansers & Bodywash",Foaming Soaps,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,"Soaps, Cleansers & Bodywash",Hypoallergenic Cleansers,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,"Soaps, Cleansers & Bodywash",Bar Soaps,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,"Soaps, Cleansers & Bodywash",No-Rinse Cleansers,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,Sun Protection,,,9.41%,12.89%,,,,,,,,
Mother & Baby,Baby Personal Care,Toothbrushes & Toothpaste,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Personal Care,Travel Bathing Kits,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Washcloths & Towels,Hooded Towels,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Personal Care,Washcloths & Towels,Washcloths,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Bathroom Safety,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Cabinet Locks & Straps,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Crib Netting,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Edge & Corner Guards,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Electrical Safety,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Gates & Doorways,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Monitors,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Safety,Rails & Rail Guards,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Safety Caps,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Baby Safety,Sanitizers,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Baby Safety,Sleep Positioners,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Jackets,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Pants,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Pyjama sets,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Coats,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Tops & Tank Tees,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Sweaters & Fleece,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Jeans,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Hoodies,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Nightgown & Robes,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Blanket Sleepers,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Polos,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Overalls,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Shorts,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Leggings,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Rain Wear,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Fleece,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Vests,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Clothing,Sleepsacks,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Boys,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Leggings,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Jackets,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Pyjama sets,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Tops & Tank Tees,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Sweaters & Fleece,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Skirts,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Nightgown & Robes,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Pants,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Coats,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Blanket Sleepers,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Shoes,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Shorts,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Overalls,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Jeans,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Hoodies,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Fleece,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Blouses & Polos,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Rain Wear,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Vests,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Clothing,Sleepsacks,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Swim Wear,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,Girls,Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),Bodysuits & One-Pieces,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),Accessories,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),Sets & Packs,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),Bottoms,,15%,19.21%,,,,,,,,
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),Sweaters & Fleece,,15%,19.21%,,,,,,,,
Mother & Baby,Diapering & Potty,"Changing Tables, Pads & Kits",Pads & Covers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,"Changing Tables, Pads & Kits",Kits,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,"Changing Tables, Pads & Kits",Changing Tables,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Cloth Diapers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Inserts & Liners,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Covers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Wet Bags,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Pins & Fasteners,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,Sprayers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Diaper Bags,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Diapering Care,Creams & Ointments,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Diapering Care,Powders,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Disposable Diapers,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Potty Training,Potty Chair,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Potty Training,Potty Seats,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Potty Training,Step Stools,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Stackers & Caddies,,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Wipes & Holders,Wipes & Refills,,9.50%,13.00%,,,,,,,,
Mother & Baby,Diapering & Potty,Wipes & Holders,Wipe Holders & Warmers,,9.50%,13.00%,,,,,,,,
Mother & Baby,Feeding,Baby & Toddler Foods,Cereal,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Baby & Toddler Foods,Snack Foods,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Baby & Toddler Foods,Puree,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Baby & Toddler Foods,Crackers & Biscuits,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Baby & Toddler Foods,Beverages,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Bottles,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Warmers & Sterilizers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Bottle Nipples & Accessories,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Bottle Care & Cleaning,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Formula Dispensers & Mixers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Bottle-Feeding,Bottle Tote Bags,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Breast Pumps,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Breast Pads & Nipple Shield,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Breast Pump Accessories,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Nipple Care,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Wipes & Accessories,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Nursing Covers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Breastfeeding,Breast Shells,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Food Blenders,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Feeding,Highchairs & Booster Seats,Highchairs,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Highchairs & Booster Seats,Booster & Hook-On Seats,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Highchairs & Booster Seats,Accessories,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Highchairs & Booster Seats,Pillow and covers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Milk Formula,Infant (0 - 6 mnths),,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Milk Formula,Toddler Milk (1 - under 3 yrs),,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Milk Formula,Follow On (6 - 12 mnths),,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Milk Formula,Growing-up Milk (3yrs +),,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Milk Formula,Maternal,,8.41%,11.76%,,,,,,,,
Mother & Baby,Feeding,Pillows & Stools,Pillows & Covers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Pillows & Stools,Foot Stools,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Utensils,"Bowl, Fork & Spoon Sets",,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Utensils,Food Storage,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Utensils,Place Mats,,9.41%,12.89%,,,,,,,,
Mother & Baby,Feeding,Utensils,Cups,,9.41%,12.89%,,,,,,,,
Mother & Baby,Gifts,"Albums, Frames & Journals",Frames,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,"Albums, Frames & Journals",Journals,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,"Albums, Frames & Journals",Albums,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Baskets,,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Diapering,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Feeding,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Bathing,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Toy Sets,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Nursery Decor,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Gift Sets,Bedding,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Keepsake Boxes & Tins,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Hand & Footprint Makers,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Keepsake Frames,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Keepsake Rattles,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Silver Baby Spoons,,10.41%,14.02%,,,,,,,,
Mother & Baby,Gifts,Keepsakes,Bronzed Baby Shoes,,10.41%,14.02%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Accessories,Supporting Belts,,9.41%,12.89%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Health,,,8.41%,11.76%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Wear,Maternity Intimates,,15%,19.21%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Wear,Maternity Dresses,,15%,19.21%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Wear,Matenity Bottoms,,15%,19.21%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Wear,Maternity Tops,,15%,19.21%,,,,,,,,
Mother & Baby,Maternity Care,Maternity Wear,Maternity Swimwear,,15%,19.21%,,,,,,,,
Mother & Baby,Maternity Care,Moisturizers & Creams,,,9.41%,12.89%,,,,,,,,
Mother & Baby,Maternity Care,Pregnancy Pillows,,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Cradles,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Cribs,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Moses,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Bassinets,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Furniture Sets,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,"Gliders, Ottomans & Rocking Chairs",,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Armoires,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Chests & Dressers,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Toddler Beds,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Baby Furniture,Bed Rails,,9.41%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Blankets & Wrappers,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,"Pillows, Protector & Cases",,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Crib Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Toddler Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Cradle Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Toddler Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Mattresses,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Quilts & Bed Covers,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Cradle Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Cradle Bedding,,9%,12.89%,,,,,,,,
Mother & Baby,Nursery,Mattresses & Bedding,Playard Bedding,,9%,12.89%,,,,,,,,
